account.accedi	Accedi
account.adoff	AdOff
account.copia.il.codice.nellestensione	Copia il codice nell'estensione
account.crea.account	Crea account
account.email	Email
account.gestisci.le.tue.licenze.pro	Manage your support
account.le.tue.licenze	Le tue licenze
account.nuovo.account.adoff	Nuovo account AdOff
account.password	Password
ad_blocker_brave.adoff.adds.exactly.those.layers.sdk.leve	AdOff adds exactly those layers: SDK-level video ad neutralization, a stealth mode that keeps anti-adblock walls from triggering, and cosmetic filtering for leftover ad elements.
ad_blocker_brave.adoff.adds.video.ad.neutralization.and.s	AdOff adds video ad neutralization and stealth on top of Brave's built-in blocking. Free, ultra-light.
ad_blocker_brave.an.ad.blocker.for.brave.that.fills.the.g	An ad blocker for Brave that fills the gaps
ad_blocker_brave.brave.is.built.on.chromium.so.adoff.inst	Brave is built on Chromium, so AdOff installs from the Chrome Web Store or from adoff.app exactly like on Chrome. It runs alongside Shields; you can keep both on.
ad_blocker_brave.braves.shields.block.many.ads.but.not.vi	Brave's Shields block many ads, but not video ads or anti-adblock walls, and they miss some sites. AdOff adds those layers on top.
ad_blocker_brave.can.i.install.adoff.on.brave	Can I install AdOff on Brave?
ad_blocker_brave.does.brave.need.an.ad.blocker	Does Brave need an ad blocker?
ad_blocker_brave.frequently.asked.questions	Frequently asked questions
ad_blocker_brave.go.beyond.brave.shields	Go beyond Brave Shields
ad_blocker_brave.installing.adoff.on.brave	Installing AdOff on Brave
ad_blocker_brave.is.adoff.for.brave.free	Is AdOff for Brave free?
ad_blocker_brave.what.brave.shields.already.do	What Brave Shields already do
ad_blocker_brave.where.a.dedicated.blocker.still.helps	Where a dedicated blocker still helps
ad_blocker_brave.yes.brave.is.a.chromium.browser.so.adoff	Yes. Brave is a Chromium browser, so AdOff installs like any Chrome extension and runs alongside Brave Shields.
ad_blocker_brave.yes.network.and.cosmetic.blocking.are.fr	Yes. Network and cosmetic blocking are free; video ad neutralization and stealth are available to everyone without limits.
ad_blocker_chrome.a.strong.choice.is.one.built.natively.fo	A strong choice is one built natively for Manifest V3 that blocks ads, video and trackers while staying lightweight and private. AdOff does all of this and is free.
