severity,category,file,line,summary,evidence,fix
critical,prezzo,ar/best-ad-blocker-2026.html,266,"Prezzo annuale errato nel JSON-LD e nel corpo: 19,99€/anno (con 24,99 renewal); reale 29,99€.",JSON-LD riga 266-268: price '19.99' ... 'then 24.99'; corpo riga 215 e 744: '19.99 يورو/سنة لأول 100 Founder',"Impostare 29,99€ come prezzo annuale in JSON-LD e nel testo"
critical,prezzo,ar/best-ad-blocker-2026.html,272,Offerta 'Founder Lifetime' 99€ nel JSON-LD: piano Lifetime inesistente.,"righe 271-274: '@type Offer, name Founder Lifetime (limited launch offer), price 99'",Rimuovere l'offerta Lifetime dal JSON-LD
critical,prezzo,ar/guide.html,488,"Tabella piani con prezzi legacy errati: Pro annuale 19,99€ e piano 'Pro مدى الحياة' (Lifetime) 99€ inesistente.",righe 488-489: 'Pro سنوي | 19.99 يورو/سنة | سعر Founder ثابت مدى الحياة' ; 'Pro مدى الحياة | 99 يورو | Pro للأبد',"Pro annuale = 29,99€; rimuovere la riga Lifetime 99€"
critical,link-morto,ar/index.html,315,"Script della navbar referenziato con path relativo: da /ar/ il browser lo risolve in /ar/adoff-nav.js che non esiste (404), quindi la <nav id=""site-nav""> resta vuota e la barra di navigazione + switcher lingua non vengono mai iniettati.","<script src=""adoff-nav.js""></script>  (file reale solo in /adoff-nav.js; nessuna copia in ar/, nessun redirect in _redirects che contiene solo /r/:code)","Usare path assoluto: <script src=""/adoff-nav.js""></script> (come già fatto per /style.css e /affiliate-tracking.js)"
critical,link-morto,ar/index.html,316,"Script del footer con path relativo: da /ar/ risolve a /ar/adoff-footer.js (404), quindi <footer id=""adoff-footer""> resta vuoto e il footer non compare.","<script src=""adoff-footer.js""></script>  (adoff-footer.js esiste solo nella root, ls ar/ non lo contiene; querySelector('footer') non trova contenuto da riempire)","<script src=""/adoff-footer.js""></script>"
critical,gui-layout,ar/license-guide.html,503,"Commento HTML della nav non chiuso: il tag <!-- non ha --> di chiusura, quindi tutto il markup successivo (page-wrapper, hero, plans, FAQ, CTA) viene inghiottito nel commento e la pagina risulta vuota/rotta.",riga 503: <!-- Shared nav injected by adoff-nav.js?v=260709-ga4b   (segue <script...> senza -->),Chiudere il commento: <!-- Shared nav injected by adoff-nav.js?v=260709-ga4b -->
critical,gui-layout,ar/license-guide.html,770,"Commento HTML del footer non chiuso: il blocco footer/script resta dentro un commento aperto, il footer condiviso non viene iniettato.",riga 770: <!-- Shared footer injected by adoff-footer.js?v=260613d   (senza -->),Chiudere il commento con -->
critical,prezzo,ar/license-guide.html,545,"Prezzo annuale errato vs SSOT: mostra 19,99–24,99€/anno; il prezzo Pro annuale reale e' 29,99€.","riga 545-546: €19,99–24,99/سنة · سعر المؤسس €19,99 للمئة الأولى ... ثم €24,99","Pro annuale = 29,99€ (unico); rimuovere 19,99/24,99"
critical,prezzo,ar/license-guide.html,558,Piano 'Founder Lifetime' a 99€ non esiste nel modello di prezzi attuale (nessun piano Lifetime).,riga 558-560: Founder Lifetime · €99 · دفعة واحدة فقط، للأبد,Rimuovere l'intera card Lifetime; i piani sono solo Pro mensile/annuale e Premium
critical,prezzo,de/best-ad-blocker-2026.html,266,JSON-LD Offers con prezzi errati: annuale 19.99 'then 24.99' e Founder Lifetime 99€ (inesistente),"""price"": ""19.99"" ... ""then 24.99"" (righe 266-267); ""name"": ""Founder Lifetime (limited launch offer)"", ""price"": ""99"" (righe 271-273)",Annuale 29.99; rimuovere offerta Lifetime; niente 24.99
critical,prezzo,de/guide.html,485,"Tabella piani con prezzo annuale 19,99€ e piano 'Pro Lifetime 99€' errati/inesistenti","<td>Pro Jährlich</td><td>19,99 EUR/Jahr</td> (riga 485); <td>Pro Lifetime</td><td>99 EUR</td> (riga 486)","Annuale 29,99€; rimuovere riga Pro Lifetime (inesistente)"
critical,prezzo,de/license-guide.html,132,"Prezzi Pro completamente errati vs SSOT (range 2,69-5,99 / 29,59-59,99) - nessuno di questi valori esiste","€2,69–5,99/Monat (riga 132); €29,59–59,99/Jahr (riga 145); prezzi corretti: 2,99€/mese, 29,99€/anno","Pro mensile 2,99€, Pro annuale 29,99€; rimuovere i range"
critical,claim-contraddittorio,de/license-guide.html,157,Piano 'Pro Lebenslang' (Lifetime) non esiste secondo SSOT ma è presente come card intera,"<div class=""plan-name"">Pro Lebenslang</div> ... €67,90–129,90 (righe 157-159)",Rimuovere l'intera card Lifetime (piano inesistente)
critical,congruenza,de/license-guide.html,177,"Intera sezione 'Geräte-Tiers' (3/5/10 dispositivi) descrive tier device inesistenti con prezzi tutti errati (3,99/5,99/39,99/59,99/67,90/89,90/129,90)","righe 177-237: '3 Geräte - Persönlich', '5 Geräte - Familie €3,99/Monat', '10 Geräte - Team €5,99/Monat'; SSOT: piano UNICO, no tier device",Rimuovere l'intera sezione tier device; il piano è unico (~3 dispositivi personali)
critical,link-morto,de/pricing.html,260,index.html linka a pricing.html che NON esiste nella cartella de/ (link relativo) → 404,"index.html righe 260 e 264: href=""pricing.html""; ls de/ non contiene pricing.html",Creare de/pricing.html oppure puntare i link a un target esistente (es. /de/#pricing o pagina prezzi reale)
critical,link-morto,es/index.html,260,Link a pricing.html che NON esiste nella cartella es/ (404),"<a class=""btn btn--outline"" data-i18n=""home.p.prem.cta"" href=""pricing.html"">Descubre Premium</a> e <a class=""btn btn--ghost"" data-i18n=""home.pricing.compare"" href=""pricing.html"">Compara todos los plan",pricing.html non esiste in site/es/ (Read fallito). Rimuovere il link o puntare a una pagina esistente (es. /pricing.html root o license-guide)
critical,traduzione,es/install.html,525,Tutti gli step di installazione (Chrome/Edge/Brave/Opera/Vivaldi/Firefox/Safari) sono in ITALIANO su pagina es,"'Trova adoff-chrome.zip in Download.'; 'Click destro → Estrai tutto'; 'Importante: Non cancellare la cartella dopo l'installazione'; 'Apri Chrome e scrivi chrome://extensions nella barra, poi premi In",Tradurre in spagnolo tutti i blocchi step-desc (data-i18n-html)
critical,traduzione,es/license-guide.html,500,Intera pagina in ITALIANO invece che spagnolo (lang=es ma contenuto it),"hero__sub: 'Semplice e trasparente. Nessuna sorpresa, nessun costo nascosto. Scegli il piano e i dispositivi. Fatto.'; section: 'Scegli il tuo ciclo di fatturazione'; FAQ 'Cosa succede se raggiungo il",Tradurre l'intero corpo della pagina in spagnolo
critical,prezzo,es/license-guide.html,517,"Prezzi errati vs SSOT: range 2,69-5,99 e device tiers inesistenti (3,99/5,99/39,99/59,99) e Lifetime inesistente","Pro Mensile '€2,69–5,99/mese'; Pro Annuale '€29,59–59,99/anno'; 'Pro Lifetime €67,90–129,90'; tier '5 Dispositivi €3,99/mese', '10 Dispositivi €5,99/mese €59,99/anno'","SSOT: mensile 2,99€, annuale 29,99€, Premium 4,99€/mo, Premium annuale founder 29,99€/standard 49,99€. NON esiste Lifetime né i device tier 3/5/10"
critical,prezzo,fr/best-ad-blocker-2026.html,265,JSON-LD Offer con prezzo annuale errato e piano Lifetime inesistente,Offer 'Pro Annual (Founder price for the first 100)' price '19.99' description 'then 24.99'; Offer 'Founder Lifetime (limited launch offer)' price '99',"Annuale founder 29,99€ / standard 49,99€; rimuovere l'Offer Lifetime"
critical,prezzo,fr/guide.html,485,Tabella abbonamenti con prezzi errati e piano Lifetime inesistente,"'Pro Annuel 19,99 EUR/an — Prix Founder bloqué à vie'; 'Pro À vie 99 EUR — Pro pour toujours'","Annuale 29,99€ (founder) / 49,99€ (standard); rimuovere riga 'Pro À vie 99 EUR'"
critical,traduzione,fr/license-guide.html,499,Intero corpo della pagina guida-licenze non tradotto: interamente in italiano invece che francese,"hero 'Come funzionano le licenze AdOff'; 'Scegli il tuo ciclo di fatturazione'; 'Pro Mensile', 'Pro Annuale', 'Pro Lifetime'; 'Quanti dispositivi ti servono?'; 'Domande frequenti'; 'Pronto a stare sen",Tradurre tutto il contenuto in francese
critical,prezzo,fr/license-guide.html,517,"Prezzi totalmente errati vs SSOT: fasce 2,69-5,99, 29,59-59,99, 67,90-129,90 inesistenti","'€2,69–5,99/mese'; '€29,59–59,99/anno'; 'Pro Lifetime €67,90–129,90'","Usare prezzi SSOT: mensile 2,99€, annuale 29,99€, Premium 4,99€/mo; rimuovere le fasce e il piano Lifetime"
critical,claim-contraddittorio,fr/license-guide.html,544,Presenta il piano 'Pro Lifetime' che non esiste (nessun Lifetime nel modello SSOT),"<div class=""plan-name"">Pro Lifetime</div> €67,90–129,90; 'Badge Founder nell'estensione'",Rimuovere completamente il piano Lifetime
critical,prezzo,fr/license-guide.html,571,Sezione 'Livelli Dispositivi' (3/5/10) con prezzi obsoleti: tier device rimossi dal modello a piano unico,"'3 Dispositivi - Personale' €2,69/mese €29,59/anno €67,90; '5 Dispositivi - Famiglia' €3,99/mese €39,99/anno €89,90; '10 Dispositivi - Team' €5,99/mese €59,99/anno €129,90","Rimuovere l'intera sezione device-tier (il modello è piano unico, no tier 3/5/10)"
critical,traduzione,fr/support.html,121,"Intera pagina di supporto (titoli, label, form, FAQ rapide) non tradotta: interamente in italiano invece che francese","h1 'Supporto'; 'Rispondiamo entro 24 ore. Controlla prima le FAQ'; 'Categoria', 'Segnalazione bug', 'Fatturazione / Licenza', 'Rimborso', 'Priorità', 'Nome', 'Il tuo nome', 'Chiave licenza', 'Oggetto'","Tradurre tutti i testi visibili in francese (Support, Catégorie, Signalement de bug, Facturation/Licence, Remboursement, Priorité, Nom, Clé de licence, Objet, Description, Solutions rapides, ecc.)"
critical,prezzo,guide.html,495,"Prezzo annuale con cifra errata 24,99 EUR e struttura Founder/standard non conforme a SSOT","Pro Annuale — 29,99 EUR/anno (Founder, primi 100) poi 24,99 EUR","SSOT: annuale 29,99€. Il prezzo standard corretto (se citato) è 49,99€, non 24,99. La cifra 24,99 non esiste."
critical,prezzo,hi/best-ad-blocker-2026.html,264,JSON-LD offerte con prezzi/piani errati: annuale 19.99 + 24.99 + Lifetime 99,righe 264-274: 'Pro Annual...price 19.99...then 24.99'; 'Founder Lifetime...price 99',"Annuale 29,99€; Lifetime non esiste. Rimuovere offerta Lifetime, correggere annuale"
critical,traduzione,hi/install.html,536,Tutti i passi di installazione (Chrome/Edge/Brave/Opera/Vivaldi/Firefox/Safari) hanno le descrizioni in ITALIANO,riga 536 'Trova adoff-chrome.zip in Download'; riga 553 'Apri Chrome e scrivi'; riga 673 'Brave usa lo stesso sistema di Chrome'; riga 782 'Doppio click sul file',Tradurre tutte le step-desc in hindi (i titoli sono in hindi ma i corpi no)
critical,traduzione,hi/license-guide.html,499,"Pagina quasi interamente NON tradotta: hero, piani, tier, step, gestione dispositivi, FAQ, CTA tutti in ITALIANO","riga 499 '<h1 class=""hero__title"">Come funzionano le licenze AdOff</h1>'; riga 508 'Scegli il tuo ciclo di fatturazione'; FAQ righe 738-812 tutte in italiano","Tradurre l'intera pagina in hindi; solo un <li> a riga 704 è in hindi, il resto è italiano"
